Date,Date Processed,Description,Amount,Flexible
09 Mar 2026,10 Mar 2026,AZABUDAIHILLS           TOKYO,10.66,FS
09 Mar 2026,10 Mar 2026,SHOGUN BURGER SHINJYUKU TOKYO,44.36,FS
09 Mar 2026,09 Mar 2026,UBER TRIP               HTTPS://HELP.UB,28.45,FS
09 Mar 2026,10 Mar 2026,UNIQLO                  *,189.31,FS
08 Mar 2026,09 Mar 2026,SHIBUYA SCRAMBLE SQURE  *,31.29,FS
08 Mar 2026,09 Mar 2026,SHIBUYA SCRAMBLE SQURE  *,41.47,FS
08 Mar 2026,09 Mar 2026,SHIBUYA SCRAMBLE SQURE  *,78.09,FS
08 Mar 2026,08 Mar 2026,UBER TRIP               HTTPS://HELP.UB,29.34,FS
08 Mar 2026,08 Mar 2026,UBER TRIP               HTTPS://HELP.UB,32.90,FS
08 Mar 2026,08 Mar 2026,UBER TRIP               HTTPS://HELP.UB,4.44,FS
08 Mar 2026,08 Mar 2026,UBER TRIP               HTTPS://HELP.UB,4.44,FS
08 Mar 2026,08 Mar 2026,UBER TRIP               HTTPS://HELP.UB,4.44,FS
07 Mar 2026,07 Mar 2026,AIRALO                  SINGAPORE,19.50,FS
07 Mar 2026,07 Mar 2026,AIRBNB * HM28Y4KBHB     LONDON,847.63,FS
07 Mar 2026,10 Mar 2026,ASOVIEW                 TOKYO,74.69,FS
07 Mar 2026,09 Mar 2026,ECUTE SHINAGAWA S       TOKYO,11.32,FS
07 Mar 2026,10 Mar 2026,INTHEBLUE               TOKYO,10.66,FS
07 Mar 2026,08 Mar 2026,KALDI COFFEE FARM       TOKYO,9.10,FS
07 Mar 2026,08 Mar 2026,MITSUYADOSEIMENNAKAMEGU TOKYO,38.49,FS
07 Mar 2026,08 Mar 2026,SUSHIZANMAI SHINJYUKUHI TOKYO,158.14,FS
07 Mar 2026,10 Mar 2026,THE CITY BAKERY NAKAMEG TOKYO,23.90,FS
07 Mar 2026,07 Mar 2026,UBER TRIP               HTTPS://HELP.UB,32.01,FS
07 Mar 2026,08 Mar 2026,UNIQLO                  *,137.82,FS
06 Mar 2026,06 Mar 2026,AIRALO                  SINGAPORE,33.50,FS
06 Mar 2026,09 Mar 2026,CHEKER CAB              TOKYO,21.34,FS
06 Mar 2026,09 Mar 2026,KOJINTAXI HONBU         TOKYO,96.47,FS
06 Mar 2026,09 Mar 2026,NIKKOREN TOKYOTO EIGYO  TOKYO,20.44,FS
06 Mar 2026,06 Mar 2026,cafe swamp              xin su qu,21.83,FS
05 Mar 2026,06 Mar 2026,AEROPORT TAXI & LIMOUSI MISSISSAUGA,74.40,FS
05 Mar 2026,06 Mar 2026,T1 VINIFERA             MISSISSAUGA,12.66,FS
05 Mar 2026,06 Mar 2026,YYZ RELAY 1812          MISSISSAUGA,34.65,FS
04 Mar 2026,05 Mar 2026,ANTIDOTE STUDIO         TORONTO,92.80,FS
04 Mar 2026,04 Mar 2026,PAYMENT RECEIVED - THANK YOU,-26618.45,
04 Mar 2026,05 Mar 2026,SP MI BOWL MEAL         MARKHAM,125.35,FS
04 Mar 2026,04 Mar 2026,UBER EATS               HTTPS://HELP.UB,123.97,FS
03 Mar 2026,03 Mar 2026,A-OK CAFE               ETOBICOKE,13.00,FS
03 Mar 2026,03 Mar 2026,AMZN MKTP CA*BE8CH3031  866-216-1072,63.21,FS
03 Mar 2026,04 Mar 2026,AMZN MKTP CA*BE9N36GJ1  866-216-1072,23.62,FS
03 Mar 2026,04 Mar 2026,AMZN MKTP CA*BP02S2TQ2  866-216-1072,14.88,FS
03 Mar 2026,04 Mar 2026,AMZN MKTP CA*BP0BB6T82  866-216-1072,28.24,FS
03 Mar 2026,04 Mar 2026,AMZN MKTP CA*BP0GY6AX2  866-216-1072,19.89,FS
03 Mar 2026,04 Mar 2026,APPLE STORE R208 R208   ETOBICOKE,145.77,FS
03 Mar 2026,04 Mar 2026,ARITZIA SHERWAY GDNS    TORONTO,5.38,FS
03 Mar 2026,03 Mar 2026,JOEY SHERWAY            Etobicoke,125.09,FS
02 Mar 2026,03 Mar 2026,AMZN MKTP CA*B90QG9KO0  866-216-1072,12.14,FS
02 Mar 2026,03 Mar 2026,AMZN MKTP CA*B952M82O0  866-216-1072,205.28,FS
02 Mar 2026,03 Mar 2026,ENOTECA ROSSIO 20048101 TORONTO,254.93,FS
02 Mar 2026,02 Mar 2026,ENTERPRISE CARSHARE C2C TORONTO,3.39,FS
02 Mar 2026,02 Mar 2026,HALE COFFEE             Toronto,10.19,FS
01 Mar 2026,02 Mar 2026,AMAZON.CA*BE54K0OO1     866-216-1072,90.39,FS
01 Mar 2026,02 Mar 2026,AMZN MKTP CA*B93G53HZ0  866-216-1072,126.49,FS
01 Mar 2026,01 Mar 2026,HIGHLY LIKELY COFFEE    Toronto,21.57,FS
01 Mar 2026,02 Mar 2026,YSI*PROP PYMT SVCFEE PR TORONTO,43.31,FS
01 Mar 2026,02 Mar 2026,YSI*The Campbell The Ca TORONTO,2475.00,FS
27 Feb 2026,27 Feb 2026,ROOMS COFFEE   135 OSSI TORONTO,12.73,FS
27 Feb 2026,27 Feb 2026,SP THELATESTSCOOP       VANCOUVER,178.54,FS
25 Feb 2026,25 Feb 2026,HALE COFFEE             Toronto,13.61,FS
25 Feb 2026,26 Feb 2026,SP MI BOWL MEAL         MARKHAM,125.35,FS
24 Feb 2026,24 Feb 2026,ROOMS COFFEE   135 OSSI TORONTO,6.20,FS
23 Feb 2026,24 Feb 2026,AMZN MKTP CA*0R5BU3K83  866-216-1072,84.68,FS
23 Feb 2026,24 Feb 2026,AMZN MKTP CA*B903894M1  866-216-1072,34.43,FS
23 Feb 2026,23 Feb 2026,HALE COFFEE             Toronto,17.28,FS
23 Feb 2026,23 Feb 2026,NETFLIX.COM             VANCOVER,27.11,FS
22 Feb 2026,23 Feb 2026,SP BETTERBITES          MARKHAM,38.99,FS
22 Feb 2026,22 Feb 2026,UBER EATS               HTTPS://HELP.UB,153.05,FS
21 Feb 2026,22 Feb 2026,AMZN MKTP CA*B91IV4DO2  866-216-1072,45.19,FS
21 Feb 2026,22 Feb 2026,COMMA 001               TORONTO,49.84,FS
21 Feb 2026,22 Feb 2026,REXALL PHARMACY #6979 T TORONTO,30.82,FS
21 Feb 2026,21 Feb 2026,UBER HOLDINGS CANADA IN TORONTO,10.36,FS
21 Feb 2026,21 Feb 2026,UBER TRIP               HTTPS://HELP.UB,12.90,FS
20 Feb 2026,21 Feb 2026,TST-LUNCH LADY - TORON  TORONTO,143.37,FS
20 Feb 2026,20 Feb 2026,UBER EATS               HTTPS://HELP.UB,75.92,FS
19 Feb 2026,20 Feb 2026,AMZN MKTP CA*V94866LF3  866-216-1072,130.54,FS
19 Feb 2026,20 Feb 2026,UBER TRIP               HTTPS://HELP.UB,15.39,FS
19 Feb 2026,19 Feb 2026,UBER TRIP               HTTPS://HELP.UB,16.45,FS
18 Feb 2026,19 Feb 2026,SP FULLWELL             CARLISLE,121.04,FS
18 Feb 2026,19 Feb 2026,SP MI BOWL MEAL         MARKHAM,125.35,FS
18 Feb 2026,21 Feb 2026,TEAMLAB BORDERLESS      TOKYO,135.95,FS
18 Feb 2026,18 Feb 2026,UBER EATS               HTTPS://HELP.UB,62.77,FS
17 Feb 2026,18 Feb 2026,AMZN MKTP CA*B95NT7LO2  866-216-1072,16.15,FS
17 Feb 2026,17 Feb 2026,ONE ACADEMY ETOBICOKE   TORONTO,2576.40,FS
16 Feb 2026,17 Feb 2026,MABELS BAKERY           TORONTO,20.57,FS
16 Feb 2026,17 Feb 2026,MABELS BAKERY           TORONTO,37.33,FS
16 Feb 2026,16 Feb 2026,SHOPIFY* 489622437      OTTAWA,57.63,FS
16 Feb 2026,17 Feb 2026,UBER EATS               HTTPS://HELP.UB,38.01,FS
16 Feb 2026,17 Feb 2026,WALMART.CA              WALMART_CA,50.33,FS
15 Feb 2026,16 Feb 2026,"The Ritz-Carlton, Toron Toronto",33.90,FS
14 Feb 2026,15 Feb 2026,ALPHASHINE INC          TORONTO,220.35,FS
14 Feb 2026,14 Feb 2026,AMZN MKTP CA*A63Q00XM3  866-216-1072,63.39,FS
14 Feb 2026,15 Feb 2026,Bobby's Cafe & Bar 2136 TORONTO,62.01,FS
14 Feb 2026,16 Feb 2026,CANADIAN TIRE STORE #62 TORONTO,79.09,FS
14 Feb 2026,15 Feb 2026,GRAVITY POPE ( TORONTO) TORONTO,89.27,FS
14 Feb 2026,14 Feb 2026,UBER TRIP               HTTPS://HELP.UB,5.00,FS
14 Feb 2026,14 Feb 2026,UBER TRIP               HTTPS://HELP.UB,5.00,FS
14 Feb 2026,14 Feb 2026,UBER TRIP               HTTPS://HELP.UB,11.40,FS
14 Feb 2026,14 Feb 2026,UBER TRIP               HTTPS://HELP.UB,14.60,FS
13 Feb 2026,14 Feb 2026,HUCKLEBERRY LABS        IRVINE,18.99,FS
13 Feb 2026,13 Feb 2026,PRC MISSISSAUGA         TORONTO,30.00,FS
13 Feb 2026,13 Feb 2026,PRC MISSISSAUGA         TORONTO,30.00,FS
13 Feb 2026,13 Feb 2026,SP EUCLID FARMS         TORONTO,62.15,FS
13 Feb 2026,13 Feb 2026,THE LIBRARY SPECIALTY C Toronto,37.80,FS
13 Feb 2026,14 Feb 2026,UH BAR TORONTO          TORONTO,641.39,FS
12 Feb 2026,12 Feb 2026,AMZN MKTP CA*EO4D78HS3  866-216-1072,190.96,FS
12 Feb 2026,13 Feb 2026,BEANFIELD FIBRE 1 L.P.  TORONTO,73.45,FS
11 Feb 2026,12 Feb 2026,SP MI BOWL MEAL         MARKHAM,125.35,FS
11 Feb 2026,12 Feb 2026,YSI*PROP PYMT SVCFEE PR TORONTO,17.33,FS
11 Feb 2026,12 Feb 2026,YSI*The Campbell The Ca TORONTO,990.47,FS
10 Feb 2026,11 Feb 2026,GENERAL PUBLIC 001      TORONTO,215.47,FS